97882,UMATILLA,OR,UMATILLA,541/458,P,,UMATILLA,45.914234,-119.283774,8,1068,59,Y,Z15666, , ,41,Z15666,,P,Umatilla,Umatilla,41,59,P,N,D,408656,,Umatilla
97883,UNION,OR,UNION,541,P,,UNION,45.210488,-117.646125,8,2784,61,Y,Z15668, , ,41,Z15668,,P,Union,Union,41,61,P,N,C,408688,,Union
97884,UNITY,OR,BAKER,541,P,,UNITY,44.411132,-118.293849,8,3443,1,Y,Z15671, , ,41,Z15671,,P,Unity,Unity,41,1,P,N,C,408704,,Baker
97885,WALLOWA,OR,WALLOWA,541/458,P,,WALLOWA,45.532754,-117.545345,8,3756,63,Y,Z15697, , ,41,Z15697,,P,Wallowa,Wallowa,41,63,P,N,C,408848,,Wallowa
97886,WESTON,OR,UMATILLA,541/458,P,,WESTON,45.798268,-118.2871,8,1068,59,Y,Z15733, , ,41,Z15733,,P,Weston,Weston,41,59,P,N,C,409152,,Umatilla
97901,ADRIAN,OR,MALHEUR,541,P,,ADRIAN,43.464293,-117.265102,7,2242,45,Y,Z14712, , ,41,Z14712,,P,Adrian,Adrian,41,45,P,N,C,400096,,Malheur
97902,AROCK,OR,MALHEUR,541,Z,,AROCK,43.9345,-117.0842,7,2242,45,Y,Z14736,P, ,41,Z14736,,P,Arock,Arock,41,45,P,N,C,400368,,Malheur
97903,BROGAN,OR,MALHEUR,541,N,,BROGAN,44.218751,-117.597063,7,2242,45,Y,12500, , ,41,12500,,P,Brogan,Brogan,41,45,N,Y,C,408720,,Malheur
97904,DREWSEY,OR,HARNEY,541,P,,DREWSEY,43.855006,-118.591485,8,4148,25,Y,Z14952, , ,41,Z14952,,P,Drewsey,Drewsey,41,25,P,N,C,402544,,Harney
97905,DURKEE,OR,BAKER,541,Z,,DURKEE,44.599164,-117.511471,8,3443,1,Y,Z14957,P, ,41,Z14957,,P,Durkee,Durkee,41,1,P,N,C,402624,,Baker
97905,DURKEE,OR,BAKER,541,Z,,WEATHERBY,44.599164,-117.511471,8,3443,1,Y,Z14957,P, ,41,Z15711,, ,Durkee,Weatherby,41,1,N,N,C,402624,,Baker
97906,HARPER,OR,MALHEUR,541,P,,HARPER,43.790706,-117.484572,7,2242,45,Y,Z15083, , ,41,Z15083,,P,Harper,Harper,41,45,P,N,C,403744,,Malheur
97907,HUNTINGTON,OR,BAKER,541,N,,LIME,44.458854,-117.385043,8,3443,1,Y,Z15114, ,Y,41,Z15201,, ,Huntington,Lime,41,1,N,N,C,404064,,Baker
97907,HUNTINGTON,OR,BAKER,541,P,,HUNTINGTON,44.458854,-117.385043,8,3443,1,Y,Z15114, ,Y,41,Z15114,,P,Huntington,Huntington,41,1,P,N,C,404064,,Baker
97907,HUNTINGTON,OR,BAKER,541,N,,RYE VALLEY,44.458854,-117.385043,8,3443,1,Y,Z15114, ,Y,41,Z15471,, ,Huntington,Rye Valley,41,1,N,N,C,404064,,Baker
97908,IRONSIDE,OR,MALHEUR,541,N,,IRONSIDE,44.194366,-117.882111,7,2242,45,Y,12084, , ,41,12084,,P,Ironside,Ironside,41,45,N,Y,C,408720,,Malheur
